69,7174867939751
97,91163289822249
44,677048942389455
4,046273373088926
68,7233689095468
91,07387349525182
31,52177153691732
97,75503324240215
57,56004618367182
1,7477508176806151
76,32473715409857
86,23180491208649
6,913130873308113
39,48725328756834
68,15604333214279
14,530581289218079
68,99106268258349
1,5332949354934016
24,56592625219651
44,58943234970301
60,71892113458315
0,01224316657159625
54,10073928260278
36,88886642311181
75,8061966746143
3,312736238964245
98,90828984738714
69,93874361270049
34,72883502707297
99,36613547586191
93,98571485373458
98,48704496328115
74,17751610007953
51,50268727517812
97,54485678744729
67,30619374071536
42,57297224484988
69,24796838743983
93,94319327266103
88,13198161690123
62,674406991654266
55,02731020330792
13,403840043304413
64,98954988317077
97,90534796095702
28,82042551823912
48,180836182171866
78,61925795610028
19,83929342582789
99,68715319395398
84,98399792471155
18,343637007448656
88,17383841992068
76,62332047551094
39,973636036726475
69,70524362740352
43,8108936156197
7,788182519277642
28,24007669847462
65,41063267058257
92,16558364786468
61,58302792421683
63,026198215329174
58,19391070780993
7,762035963946039
77,8376921908174
12,054288812006957
55,41044359812999
41,942396500121056
0,8498495914274127
71,9576090443682
99,74309429514366
7,59010166283236
36,43394463529528
81,91502535804874
5,691610931275231
86,60840312326718
89,111189399432
38,98351846215479
46,985771156375186
55,13190005679237
20,289031891286854
50,099450186872595
35,04168183311898
14,382137551150349
75,64207784628593
10,313206543360467
97,55419562456859
11,529051238451643
27,839613160043776
23,495300125095667
34,78478972557224
41,00789168896521
28,532560602078476
95,96639796903655
1,0913790674374342
92,00111198797873
55,20992933549449
57,227513919224734
20,06765577013961
